GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer-master-system,com.customermaster.domain.user,UserStatus,17,46,4,2,3,9,5,4,3,3
customer-master-system,com.customermaster.domain.user,User,109,202,8,20,25,60,15,24,7,18
customer-master-system,com.customermaster.domain.user,UserName,0,11,0,0,0,4,0,3,0,3
customer-master-system,com.customermaster.domain.user,Role,10,66,2,12,2,11,3,12,2,6
customer-master-system,com.customermaster.domain.user,UserId,0,14,0,0,0,4,0,3,0,3
customer-master-system,com.customermaster.config,SecurityConfig,83,0,0,0,18,0,12,0,12,0
customer-master-system,com.customermaster.domain.assign,AssignedSalesRepresentative,57,86,7,7,6,18,9,12,4,10
customer-master-system,com.customermaster.domain.assign,AssignmentChangeAuthorizationService,15,182,10,34,3,46,9,18,0,5
customer-master-system,com.customermaster.domain.assign,AssignmentChangeType,3,39,0,4,1,8,1,6,1,4
customer-master-system,com.customermaster.domain.assign,AssignmentChangeRequest,123,133,16,8,17,32,15,15,7,11
customer-master-system,com.customermaster.domain.customer,CustomerBasicInfo,93,185,12,28,11,34,19,22,7,14
customer-master-system,com.customermaster.domain.customer,CreditInfo.CreditRank,6,94,0,0,2,15,2,2,2,2
customer-master-system,com.customermaster.domain.customer,CustomerChangeRequestId,13,9,0,0,3,3,2,2,2,2
customer-master-system,com.customermaster.domain.customer,Customer,229,287,13,13,53,74,21,33,13,28
customer-master-system,com.customermaster.domain.customer,CustomerChangeRequest,36,236,3,19,9,62,5,33,2,25
customer-master-system,com.customermaster.domain.customer,CustomerSnapshot,167,140,18,8,30,31,24,6,13,4
customer-master-system,com.customermaster.domain.customer,CustomerName,0,11,0,0,0,4,0,3,0,3
customer-master-system,com.customermaster.domain.customer,Approval,99,125,15,15,14,26,13,20,5,13
customer-master-system,com.customermaster.domain.customer,ApprovalStatus,12,65,3,7,2,12,4,9,2,6
customer-master-system,com.customermaster.domain.customer,CustomerStatus,24,87,9,11,3,15,9,12,3,8
customer-master-system,com.customermaster.domain.customer,CreditInfo,197,56,29,5,27,12,30,6,14,5
customer-master-system,com.customermaster.domain.customer,CustomerId,0,14,0,0,0,4,0,3,0,3
customer-master-system,com.customermaster.domain.salesdepartment,DepartmentStatus,24,32,6,0,4,7,7,2,4,2
customer-master-system,com.customermaster.domain.salesdepartment,DepartmentName,0,11,0,0,0,4,0,3,0,3
customer-master-system,com.customermaster.domain.salesdepartment,SalesDepartmentId,0,14,0,0,0,4,0,3,0,3
customer-master-system,com.customermaster.domain.salesdepartment,SalesDepartment,31,279,1,17,8,70,4,29,3,21
customer-master-system,com.customermaster,CustomerMasterSystemApplication,5,3,0,0,2,1,1,1,1,1
customer-master-system,com.customermaster.domain.shared,ContactInfo,24,193,6,32,4,38,9,26,3,13
customer-master-system,com.customermaster.domain.shared,EntityId,7,56,1,9,1,12,2,9,1,5
customer-master-system,com.customermaster.domain.shared,ValueObject,0,3,0,0,0,1,0,1,0,1
customer-master-system,com.customermaster.domain.shared,BankAccount,40,257,9,29,6,47,11,27,2,17
customer-master-system,com.customermaster.domain.shared,Address,24,213,6,22,4,35,9,20,3,12
customer-master-system,com.customermaster.domain.shared,Entity,61,43,10,0,9,13,11,4,6,4
customer-master-system,com.customermaster.domain.shared,BankAccount.AccountType,0,35,0,0,0,8,0,3,0,3
customer-master-system,com.customermaster.domain.shared,Name,9,72,2,10,1,15,3,8,1,4
